x,y,a1g_c center,a1g_c height,a1g_c width,a1g_c confidence,a1g_d center,a1g_d height,a1g_d width,a1g_d confidence,eg center,eg height,eg width,eg confidence
0,0,597.3435339755696,3.2718660774764916,63.96094693035581,1.0,537.2494406524683,5.99127883839856,46.23637580134802,1.0,472.9584803059869,3.973608075517992,40.15484980791695,1.0
1,0,0.0,0.0,0.0,0.0,536.0380125153827,2.942511641575602,52.375525234280836,1.0,477.29395758808056,1.924313475054122,55.527935779995204,1.0
2,0,592.322673712174,0.9788002588597798,52.428516554739524,0.2,538.2316855819531,0.82058603326297,70.25063442389981,1.0,489.1440501627179,0.5121780868909878,47.82843788276654,0.92
3,0,600.1583624540148,0.7396692942364808,51.364568625145225,1.0,535.6826049889953,3.0136300974314008,71.04154038075211,1.0,486.60013864566554,1.5929390019815441,59.456311221438085,1.0
4,0,594.9632671645884,1.6708481805717637,74.88452968647049,1.0,538.8098995334555,2.1859372361384835,68.7767694230861,1.0,0.0,0.0,0.0,0.0
5,0,599.8028427581135,0.8872281407375129,51.73127847003737,1.0,537.2469594489033,3.7323743245976098,53.72745162155621,1.0,478.84055175723444,4.628687704115284,63.86843478089086,1.0
6,0,602.1923489067813,1.2701650291403743,60.05694177166941,1.0,0.0,0.0,0.0,0.0,474.80125119040514,0.7977207846630409,55.88285744106046,1.0
7,0,599.7695492436598,0.6453707227994147,60.639042374664335,1.0,535.8431203064256,1.1858656974598947,75.0,1.0,475.30476503394493,1.7137249042621805,65.0,1.0
8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.3087438057458,7.917469631992718,65.0,1.0
9,0,599.5715073291298,0.5553366730465403,59.16424758164543,1.0,0.0,0.0,0.0,0.0,469.3942387010414,2.6931676201162738,65.0,1.0
10,0,0.0,0.0,0.0,0.0,541.6609062094418,1.502987751116626,75.0,1.0,482.825115434065,0.9968791426443883,56.02835757173854,1.0
11,0,597.159128089684,1.0341113163919624,63.34836168943658,1.0,546.0313448693463,1.856750229365024,74.31601396203173,1.0,0.0,0.0,0.0,0.0
12,0,602.1787624245649,2.5461276417832948,69.23933299025941,1.0,537.3815682524842,0.5104082095677517,63.38538030708807,1.0,0.0,0.0,0.0,0.0
13,0,0.0,0.0,0.0,0.0,544.759879026103,2.1410922874611424,73.4858232233313,1.0,481.05313455859743,3.0182164821058035,59.679512591579865,1.0
14,0,597.892742945652,2.179474208003847,70.81870300316935,1.0,543.7108948623379,0.67556067430883,74.78154597193736,1.0,0.0,0.0,0.0,0.0
15,0,596.1619515868999,0.8257611994650483,55.93108123538552,0.92,541.1865234670402,0.9584980752040569,65.69337513261222,1.0,484.6068234655075,1.0717169021042385,57.541864735409675,1.0
16,0,603.3720426843071,2.655075490393217,49.457508461128604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,598.6191350709818,2.559167542176136,58.9210920215009,1.0,539.4490803753727,1.5779443024442399,75.0,1.0,0.0,0.0,0.0,0.0
