x,y,d center,d height,d width,d confidence,g center,g height,g width,g confidence,u1 center,u1 height,u1 width,u1 confidence,u2 center,u2 height,u2 width,u2 confidence,u3 center,u3 height,u3 width,u3 confidence
0,0,1330.3829879131106,9.161209318730627,161.1551684,1.0,1599.9060903543723,9.287030046207542,90.20756688010586,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1567.1074907235675,3.043962817491668,76.76515640341893,1.0
1,0,1329.7133453770166,21.145095073312767,161.1551684,1.0,1599.4462703502668,23.22181012092667,81.4117649180566,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1561.006426506191,1.7021662885188007,72.04100396026894,0.94
2,0,1333.012733192,11.261030710432252,161.1551684,1.0,1595.6140480933514,11.406411436318487,88.13937076700785,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563.4762253724814,1.9405923978047055,69.99129766517007,1.0
3,0,1330.0970011015183,12.768923850034904,161.1551684,1.0,1597.6822590221414,11.731460204946163,71.50051220229108,1.0,0.0,0.0,0.0,0.0,1508.2093239668714,1.0511952985423223,131.2255271643211,0.32,0.0,0.0,0.0,0.0
4,0,1333.012733192,15.457422427727886,161.1551684,1.0,1594.6578897915717,15.137454771802046,80.11735135739393,1.0,1173.5446226045522,0.4296555727816251,97.44717139244409,0.22,1506.270296130951,0.8266194880320872,147.07018205500773,0.18,0.0,0.0,0.0,0.0
5,0,1331.9835244814183,12.137130580980736,161.1551684,1.0,1596.5577989792912,15.909335465036355,67.48190819953292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,1332.905127294915,9.03028305262994,165.8084166115415,1.0,1596.1140004474905,9.890486324224888,60.9704824492908,1.0,1178.209067264428,2.483444025450479,98.53353408,0.22,0.0,0.0,0.0,0.0,1560.7148132603604,5.405667812736935,64.61758189549381,1.0
7,0,1333.012733192,9.51942851441843,161.1551684,1.0,1599.8376768605815,10.237678471805255,88.44721907652554,1.0,1172.636195914282,1.4998806450864204,94.54725518025758,1.0,0.0,0.0,0.0,0.0,1565.276115080878,4.639094973750815,64.53782681261853,1.0
8,0,1332.3189052724424,8.912096189803517,161.1551684,1.0,1596.2266819787746,12.708263838211922,82.26311250074318,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1562.00021905634,2.1538370851099504,76.80721312,0.28
9,0,1329.4469507846052,10.908909877185213,161.1551684,1.0,1599.6088012455953,9.525547601319655,98.94361696904991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
