timestep,pixels
20,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
21,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
22,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
23,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
24,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
25,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
26,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
27,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
28,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
29,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
30,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
31,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
32,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
33,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
34,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
35,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
36,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
37,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
38,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
39,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
