timestep,pixels
49,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
50,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
51,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
52,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
53,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
54,"1,5;2,5;1,6;2,6;3,6;1,7;2,7;3,7;4,7;1,8;2,8;3,8;2,9"
55,"1,5;2,5;1,6;2,6;3,6;1,7;2,7;3,7;4,7;1,8;2,8;3,8;2,9"
56,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
57,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
58,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
59,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
60,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
61,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
62,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
63,"1,5;2,5;1,6;2,6;3,6;1,7;2,7;3,7;4,7;1,8;2,8;3,8;2,9"
64,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
65,"1,5;2,5;1,6;2,6;3,6;1,7;2,7;3,7;4,7;1,8;2,8;3,8;2,9"
66,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
67,"1,5;2,5;1,6;2,6;3,6;1,7;2,7;3,7;4,7;1,8;2,8;3,8;2,9"
68,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
69,"1,5;2,5;1,6;2,6;3,6;1,7;2,7;3,7;4,7;1,8;2,8;3,8;2,9"
70,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
71,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
72,"1,5;2,5;1,6;2,6;3,6;1,7;2,7;3,7;4,7;1,8;2,8;3,8;2,9"
73,"1,5;2,5;1,6;2,6;3,6;1,7;2,7;3,7;4,7;1,8;2,8;3,8;2,9"
74,"1,5;2,5;1,6;2,6;3,6;1,7;2,7;3,7;4,7;1,8;2,8;3,8;2,9"
75,"2,5;3,5;2,6;3,6;4,6;2,7;3,7;4,7;5,7;2,8;3,8;4,8;3,9"
76,"1,5;2,5;1,6;2,6;3,6;1,7;2,7;3,7;4,7;1,8;2,8;3,8;2,9"
77,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
78,"1,5;2,5;1,6;2,6;3,6;1,7;2,7;3,7;4,7;1,8;2,8;3,8;2,9"
79,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
80,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
81,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
82,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
83,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
84,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
