timestep,pixels
46,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
47,"25,1;26,1;24,2;25,2;26,2;27,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4"
48,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
49,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
50,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
51,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
52,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
53,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
54,"26,1;27,1;25,2;26,2;27,2;28,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4"
55,"26,1;27,1;25,2;26,2;27,2;28,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4"
56,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
57,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
58,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
59,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
60,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
61,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
62,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
63,"26,1;27,1;25,2;26,2;27,2;28,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4"
64,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
65,"26,1;27,1;25,2;26,2;27,2;28,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4"
66,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
67,"26,1;27,1;25,2;26,2;27,2;28,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4"
68,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
69,"26,1;27,1;25,2;26,2;27,2;28,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4"
70,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
71,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
72,"26,1;27,1;25,2;26,2;27,2;28,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4"
73,"26,1;27,1;25,2;26,2;27,2;28,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4"
74,"26,1;27,1;25,2;26,2;27,2;28,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4"
75,"27,1;28,1;26,2;27,2;28,2;29,2;26,3;27,3;28,3;29,3;26,4;27,4;28,4;29,4"
76,"26,1;27,1;25,2;26,2;27,2;28,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4"
77,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
78,"26,1;27,1;25,2;26,2;27,2;28,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4"
79,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
80,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
81,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
82,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
83,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
84,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
85,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
86,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
87,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
88,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
89,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
90,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
91,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
92,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
93,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
94,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
95,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
96,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
97,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
98,"26,1;27,1;25,2;26,2;27,2;28,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4"
99,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
100,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
101,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
102,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
103,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
104,"27,2;28,2;26,3;27,3;28,3;29,3;26,4;27,4;28,4;29,4;26,5;27,5;28,5;29,5"
105,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
106,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
107,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
108,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
109,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
110,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
111,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
112,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
113,"26,2;27,2;25,3;26,3;27,3;28,3;25,4;26,4;27,4;28,4;25,5;26,5;27,5;28,5"
