timestep,pixels
23,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
24,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
25,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
26,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
27,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
28,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
29,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
30,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
31,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
32,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
33,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
34,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
35,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
36,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
37,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
38,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
39,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
40,"11,12;12,12;13,12;14,12;10,13;11,13;12,13;13,13;14,13;15,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;11,16;12,16;13,16;14,16;12,17;13,17;14,17"
41,"11,12;12,12;13,12;14,12;10,13;11,13;12,13;13,13;14,13;15,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;11,16;12,16;13,16;14,16;12,17;13,17;14,17"
42,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
43,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
44,"11,12;12,12;13,12;14,12;10,13;11,13;12,13;13,13;14,13;15,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;11,16;12,16;13,16;14,16;12,17;13,17;14,17"
45,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
46,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
47,"11,12;12,12;13,12;14,12;10,13;11,13;12,13;13,13;14,13;15,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;11,16;12,16;13,16;14,16;12,17;13,17;14,17"
48,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
49,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
50,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
51,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
52,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
53,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
54,"12,12;13,12;14,12;15,12;11,13;12,13;13,13;14,13;15,13;16,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;12,16;13,16;14,16;15,16;13,17;14,17;15,17"
55,"12,12;13,12;14,12;15,12;11,13;12,13;13,13;14,13;15,13;16,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;12,16;13,16;14,16;15,16;13,17;14,17;15,17"
56,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
57,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
58,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
59,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
60,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
61,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
62,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
63,"12,12;13,12;14,12;15,12;11,13;12,13;13,13;14,13;15,13;16,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;12,16;13,16;14,16;15,16;13,17;14,17;15,17"
