time/h,Ewe/V,timestep
1.77413,3.8579,8
1.78246,3.85866,8
1.7908,3.85941,8
1.79913,3.86017,8
1.80746,3.86101,8
1.8158,3.86164,8
1.82413,3.86259,8
1.83246,3.86318,8
1.8408,3.86408,8
1.84913,3.86469,8
1.85746,3.86565,8
1.8658,3.8664,8
1.87413,3.86727,9
1.88246,3.86808,9
1.8908,3.86881,9
1.89913,3.86961,9
1.90746,3.87054,9
1.9158,3.87128,9
1.92413,3.87213,9
1.93246,3.87288,9
1.9408,3.87379,9
1.94913,3.87471,9
1.95746,3.87551,9
1.9658,3.87637,9
1.97413,3.87731,9
1.98246,3.87806,9
1.9908,3.87905,9
1.99913,3.87988,9
2.00746,3.88072,9
2.0158,3.88164,9
2.02413,3.88261,9
2.03246,3.88348,9
2.0408,3.88436,9
2.04913,3.8853,9
2.05746,3.88618,9
2.0658,3.88712,9
2.07413,3.88787,9
2.08246,3.88888,9
2.0908,3.88984,9
2.09913,3.89083,9
2.10746,3.89162,9
2.1158,3.89264,9
2.12413,3.89361,9
2.13246,3.89455,10
2.1408,3.89546,10
2.14913,3.89649,10
2.15746,3.89738,10
2.1658,3.8983,10
2.17413,3.89933,10
2.18246,3.90025,10
2.1908,3.90132,10
2.19913,3.90228,10
2.20746,3.90318,10
2.2158,3.90421,10
2.22413,3.9052,10
2.23246,3.90617,10
2.2408,3.90719,10
2.24913,3.90823,10
2.25746,3.90926,10
2.2658,3.91025,10
2.27413,3.91113,10
2.28246,3.91232,10
2.2908,3.91325,10
2.29913,3.91428,10
2.30746,3.91528,10
2.3158,3.91636,10
2.32413,3.91735,10
2.33246,3.91845,10
2.3408,3.91938,10
2.34913,3.92047,10
2.35746,3.92148,10
2.3658,3.92238,10
2.37413,3.92357,10
2.38246,3.92467,11
2.3908,3.92573,11
2.39913,3.92682,11
2.40746,3.92782,11
2.4158,3.92895,11
2.42413,3.93,11
2.43246,3.93088,11
2.4408,3.93204,11
2.44913,3.93313,11
2.45746,3.93419,11
2.4658,3.93524,11
2.47413,3.9364,11
2.48246,3.93752,11
2.4908,3.93849,11
2.49913,3.93959,11
2.50746,3.94076,11
2.5158,3.94169,11
2.52413,3.94285,11
2.53246,3.9439,11
2.5408,3.9451,11
2.54913,3.94607,11
2.55746,3.94721,11
2.5658,3.94834,11
2.57413,3.94934,11
2.58246,3.95044,11
2.5908,3.9516,11
2.59913,3.95272,11
2.60746,3.95379,11
